d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.14236;0;0.14236;0.148213;0;0.148213;0.00540464;0;0.00540464;0.00457036;0;0.00457036;125;4987.62;./sim_stress_06_08_2023_17324896
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.220159;0;0.220159;0.0844045;0;0.0844045;0.00275985;0;0.00275985;0.00552372;0;0.00552372;206;4981.51;./sim_stress_06_08_2023_17324897
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.253631;0;0.253631;0.254369;0;0.254369;0.00192633;0;0.00192633;0.00163633;0;0.00163633;227;4950.98;./sim_stress_06_08_2023_17324898
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.299881;0;0.299881;0.169174;0;0.169174;0.00146597;0;0.00146597;0.00368556;0;0.00368556;277;4947.53;./sim_stress_06_08_2023_17324899
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.2337;0;0.2337;0.225235;0;0.225235;0.00155007;0;0.00155007;0.00184012;0;0.00184012;184;4966.91;./sim_stress_06_08_2023_173248100
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.289381;0;0.289381;0.171251;0;0.171251;0.00119923;0;0.00119923;0.00378399;0;0.00378399;232;4954.66;./sim_stress_06_08_2023_173248101
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.208736;0;0.208736;0.229903;0;0.229903;0.00233537;0;0.00233537;0.00172601;0;0.00172601;159;4970.96;./sim_stress_06_08_2023_173248102
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.254263;0;0.254263;0.146386;0;0.146386;0.00252728;0;0.00252728;0.00702882;0;0.00702882;216;4967.11;./sim_stress_06_08_2023_173248103
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.191103;0;0.191103;0.175991;0;0.175991;0.00184809;0;0.00184809;0.00478107;0;0.00478107;172;4981.32;./sim_stress_06_08_2023_173248104
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.22438;0;0.22438;0.193155;0;0.193155;0.00262229;0;0.00262229;0.00181647;0;0.00181647;203;4974.6;./sim_stress_06_08_2023_173248105
